City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Isla Vista,US,34.4133,-119.861,68.43,33,0,4.61,clear sky
351,Borogontsy,RU,62.6683,131.1683,-37.14,100,65,1.5,broken clouds
352,Bud,US,39.447,-86.1758,26.83,62,43,9.89,scattered clouds
353,Blagoveshchenka,RU,52.8333,79.8667,2.01,82,57,9.26,broken clouds
354,Hasaki,JP,35.7333,140.8333,30.6,70,53,15.93,broken clouds
355,Tomatlan,MX,19.9333,-105.25,87.51,39,1,9.89,clear sky
356,Rinteln,DE,52.186,9.0792,48.88,85,100,11.99,overcast clouds
357,Billings,US,45.7833,-108.5007,52.5,23,75,17.27,broken clouds
358,Padang,ID,-0.9492,100.3543,77.38,89,96,2.8,overcast clouds
359,Mehamn,NO,71.0357,27.8492,21.15,79,75,12.66,broken clouds
360,Geraldton,AU,-28.7667,114.6,70.21,88,0,5.75,clear sky
361,Vardo,NO,70.3705,31.1107,21.65,76,100,3.09,overcast clouds
362,Aksu,CN,41.1231,80.2644,26.98,46,100,2.3,overcast clouds
363,Linhares,BR,-19.3911,-40.0722,83.37,68,97,10.56,overcast clouds
364,Grand Gaube,MU,-20.0064,57.6608,81.0,75,86,4.0,overcast clouds
365,Middelburg,ZA,-25.7751,29.4648,61.9,83,100,9.8,overcast clouds
366,Richards Bay,ZA,-28.783,32.0377,71.6,83,62,4.14,broken clouds
367,Santo Domingo,DO,18.5001,-69.9886,87.44,67,20,3.0,few clouds
368,Pangnirtung,CA,66.1451,-65.7125,-14.8,70,100,4.61,light snow
369,Anadyr,RU,64.75,177.4833,-12.5,76,40,2.24,fog
370,Aginskoye,RU,51.1,114.53,-12.37,98,23,5.73,few clouds
371,General Roca,AR,-39.0333,-67.5833,95.4,10,0,18.48,clear sky
372,Starotimoshkino,RU,53.7191,47.5312,10.67,98,87,5.91,overcast clouds
373,Voh,NC,-20.9667,164.7,79.7,84,74,2.59,broken clouds
374,Selam,IN,11.65,78.1667,72.79,82,89,3.85,overcast clouds
375,Kichmengskiy Gorodok,RU,59.9816,45.7854,16.81,95,100,5.91,overcast clouds
376,Derzhavinsk,KZ,51.1,66.3167,20.66,94,100,12.55,light snow
377,Serik,TR,36.9169,31.0989,46.74,71,100,5.88,light rain
378,Lavrentiya,RU,65.5833,-171.0,-4.52,84,4,3.89,clear sky
379,Ambovombe,MG,-25.1667,46.0833,73.31,87,4,13.82,clear sky
380,Azare,NG,11.6765,10.1948,66.38,15,92,10.74,overcast clouds
381,Melo,UY,-32.3667,-54.1833,80.76,39,1,12.15,clear sky
382,Ingham,US,42.6,-84.3833,22.62,66,100,4.61,overcast clouds
383,Mastic Beach,US,40.7668,-72.8521,17.98,89,100,7.0,haze
384,Oranzherei,RU,45.8476,47.5663,28.36,83,100,12.71,overcast clouds
385,Ifanadiana,MG,-21.3,47.6333,70.43,92,90,1.45,overcast clouds
386,Katsuura,JP,35.1333,140.3,41.18,84,32,13.96,scattered clouds
387,Seymchan,RU,62.8833,152.4333,-9.15,99,100,5.14,light snow
388,Southbridge,US,42.0751,-72.0334,18.32,88,100,5.01,snow
389,Asau,RO,46.4333,26.4,25.72,89,79,7.61,broken clouds
390,Gandu,BR,-13.7439,-39.4867,75.22,95,100,1.34,light rain
391,Koindu,GN,8.4386,-10.3253,78.71,44,82,2.21,broken clouds
392,Sawtell,AU,-30.3833,153.1,69.19,96,90,3.44,overcast clouds
393,Puerto Colombia,CO,10.9878,-74.9547,86.09,72,1,18.57,clear sky
394,Palembang,ID,-2.9167,104.7458,78.89,94,20,2.3,haze
395,Harper,LR,4.375,-7.7169,80.15,85,63,7.23,broken clouds
396,Namatanai,PG,-3.6667,152.4333,79.48,81,100,2.26,light rain
397,Klaksvik,FO,62.2266,-6.589,34.72,64,82,32.03,broken clouds
398,Puerto Narino,CO,-3.7703,-70.3831,91.35,36,20,5.32,few clouds
399,Nangan,PH,6.4726,126.1244,79.43,78,64,3.47,broken clouds
400,Amapa,BR,1.0,-52.0,75.38,97,100,3.15,heavy intensity rain
401,Canete,CL,-37.8,-73.4,70.0,58,6,7.63,clear sky
402,Cayenne,GF,4.9333,-52.3333,84.24,80,75,7.0,broken clouds
403,Broken Hill,AU,-31.95,141.4333,74.91,60,2,9.22,clear sky
404,Dandong,CN,40.1292,124.3947,15.42,51,0,5.12,clear sky
405,Nome,US,64.5011,-165.4064,-6.9,70,0,5.75,clear sky
406,Sanghar,PK,26.0466,68.9481,57.27,27,0,5.75,clear sky
407,Oranjemund,NA,-28.55,16.4333,65.89,85,68,11.95,broken clouds
408,Mayumba,GA,-3.432,10.6554,77.86,89,73,3.96,broken clouds
409,Valdivia,CL,-39.8142,-73.2459,69.89,50,12,8.7,few clouds
410,Esso,RU,55.9333,158.7,20.73,96,100,4.94,light snow
411,Turochak,RU,52.2576,87.1224,-6.16,99,60,2.93,broken clouds
412,Winnemucca,US,40.973,-117.7357,39.25,38,0,0.0,clear sky
413,Cap Malheureux,MU,-19.9842,57.6142,81.09,75,81,4.0,broken clouds
414,Bonavista,CA,48.6499,-53.1147,34.12,87,100,18.34,overcast clouds
415,Nanortalik,GL,60.1432,-45.2371,19.49,68,100,12.15,light snow
416,Haileybury,CA,47.449,-79.6373,0.18,76,43,2.46,scattered clouds
417,Srednekolymsk,RU,67.45,153.6833,-23.93,100,93,4.94,overcast clouds
418,Vao,NC,-22.6667,167.4833,78.28,87,99,10.42,light rain
419,Cedar City,US,37.6775,-113.0619,42.4,38,0,0.0,clear sky
420,Inhambane,MZ,-23.865,35.3833,76.98,83,20,3.44,few clouds
421,Karratha,AU,-20.7377,116.8463,81.59,61,95,18.48,overcast clouds
